Algorithm,Preprocessing,K,Silhouette,Calinski-Harabasz,Davies-Bouldin
KMeans,Raw,3,0.5595823478987215,497.00487620805814,0.549557597464291
KMeans,Raw,4,0.5669477723599623,696.839035649436,0.548665888691409
KMeans,Raw,5,0.5081797474674725,745.1974292213944,0.5744186247681753
Hierarchical,Raw,3,0.5644796401732071,552.851711505718,0.5357343073560251
Hierarchical,Raw,4,0.5606726948394264,670.6259906052811,0.5535739500227292
Hierarchical,Raw,5,0.5074843044233789,684.2226128880217,0.5513145248753538
MeanShift,Raw,auto,0.5024921259394888,454.0589434652176,0.5561495856687338
KMeans,Normalized,3,0.2848589191898987,70.9400080031512,1.3891879777181646
KMeans,Normalized,4,0.25422758316007776,52.75853530591114,1.6954175827443763
KMeans,Normalized,5,0.1836210510769814,45.85645649550628,1.9120310619672225
Hierarchical,Normalized,3,0.2774439826952266,67.6474675044098,1.4185919431857326
Hierarchical,Normalized,4,0.22583665933475802,51.46414629882825,1.7886506143765981
Hierarchical,Normalized,5,0.18674235566758707,43.67927204722388,1.9228554600490608
MeanShift,Normalized,auto,0.22447619269259034,6.4354344589923205,1.3200588029456866
KMeans,Transformed,3,0.3012404890756277,73.11131495870433,1.3609734457072762
KMeans,Transformed,4,0.2556711530620086,55.82138455097533,1.7692655201146716
KMeans,Transformed,5,0.21738755681318184,46.594643866337314,1.9251014326914622
Hierarchical,Transformed,3,0.2897748832893604,68.95605882834002,1.3854842493552162
Hierarchical,Transformed,4,0.25173142727273834,53.13027673645052,1.704426199116898
Hierarchical,Transformed,5,0.22941929105146994,44.79254818351917,1.8093489570386325
MeanShift,Transformed,auto,0.29266826423447734,3.0154274111215496,0.5622785974844674
KMeans,PCA,3,0.5598925346004794,497.26102546866036,0.549252315017588
KMeans,PCA,4,0.5675394943611117,697.5116553451248,0.5481557425425325
KMeans,PCA,5,0.5090778999302266,746.1662727848517,0.5734964781647136
Hierarchical,PCA,3,0.5649842648306251,553.1535508536513,0.535099429126438
Hierarchical,PCA,4,0.561236151456481,671.2549923117463,0.5530442413937828
Hierarchical,PCA,5,0.5084926888223302,685.0568186653893,0.5503170771259758
MeanShift,PCA,auto,0.5028311557803299,454.27627773826947,0.5557018297078055
KMeans,T+N,3,0.3012404890756277,73.11131495870431,1.3609734457072762
KMeans,T+N,4,0.25567115306200866,55.82138455097533,1.7692655201146719
KMeans,T+N,5,0.21738755681318186,46.594643866337314,1.9251014326914628
Hierarchical,T+N,3,0.2897748832893604,68.95605882834002,1.3854842493552164
Hierarchical,T+N,4,0.25173142727273834,53.13027673645051,1.704426199116898
Hierarchical,T+N,5,0.22941929105146994,44.792548183519166,1.8093489570386325
MeanShift,T+N,auto,0.2926682642344773,3.0154274111215487,0.5622786165248577
KMeans,T+N+PCA,3,0.46966532174217873,177.07649677058086,0.8231214984019589
KMeans,T+N+PCA,4,0.4312202200284339,150.42800680031942,1.0125646599335156
KMeans,T+N+PCA,5,0.3525728213094922,126.96910033984761,1.1380117297355392
Hierarchical,T+N+PCA,3,0.4604136805207468,168.93221139641992,0.8411923553382611
Hierarchical,T+N+PCA,4,0.42379517235386527,142.66568518422258,0.9629859851966978
Hierarchical,T+N+PCA,5,0.43076320069052154,125.5689835285915,0.9393396022109863
MeanShift,T+N+PCA,auto,0.4695151051817825,175.7228883820913,0.8274330213273663
